Contract Address,Token Name,Website,Label
0x514910771af9ca656af840dff83e8264ecf986ca,ChainLink Token ((LINK)),https://chain.link/,Oracle
0x4c11249814f11b9346808179cf06e71ac328c1b5,Oraichain Token ((ORAI)),https://orai.io/,Oracle
0x5ac99d6172247d5319c72b2c95e3b9d6fe9895d0,WINkLink ((WIN)),https://winklink.org/,Oracle
0xd9c2d319cd7e6177336b0a9c93c21cb48d84fb54,HAPI ((HAPI)),https://www.hapi.one/,Oracle
0x892a6f9df0147e5f079b0993f486f9aca3c87881,unification.com/xfund ((xFUND)),https://www.unification.com/xfund,Oracle
0x477a3d269266994f15e9c43a8d9c0561c4928088,Å¸ ((YAI)),https://www.yoracle.ai/,Oracle
0x188e817b02e635d482ae4d81e25dda98a97c4a42,Lithium ((LITH)),https://lith.finance/,Oracle
0xc9c4fd7579133701fa2769b6955e7e56bb386db1,Bridge ((BRG)),https://bridge.link/,Oracle
0x50de6856358cc35f3a9a57eaaa34bd4cb707d2cd,RAZOR ((RAZOR)),https://razor.network/,Oracle
0xea1ea0972fa092dd463f2968f9bb51cc4c981d71,Modefi ((MOD)),https://modefi.io/,Oracle
0x358aa737e033f34df7c54306960a38d09aabd523,Ares Protocol ((ARES)),http://aresprotocol.io/,Oracle
0xd8e3fb3b08eba982f2754988d70d57edc0055ae6,Zoracles ((ZORA)),https://zoracles.com/,Oracle
0xbb9fd9fa4863c03c574007ff3370787b9ce65ff6,HILO ((HILO)),http://www.hilodapp.com/,Oracle
0x00b7db6b4431e345eee5cc23d21e8dbc1d5cada3,CyberTronChain ((CTC)),https://cybertronchain.com/,Oracle
0x0ba45a8b5d5575935b8158a88c631e9f9c95a2e5,Tellor Tributes ((TRB)),https://tellor.io/,Oracle
0x4a5b3d0004454988c50e8de1bcfc921ee995ade3,Wrapped Equilibria v2 ((wXEQ)),https://equilibria.network/,Oracle
0xcd1cb16a67937ff8af5d726e2681010ce1e9891a,ThemisToken ((MIS)),https://themisoracle.com/,Oracle
0x0d40ad54edc0a3632a1996e5f8fd10b91f298a27,eXEQ ((eXEQ)),https://equilibriacc.com/,Oracle
0x63726dae7c57d25e90ec829ce9a5c745ffd984d3,DEOR ((DEOR)),https://www.deor.io/,Oracle
0x1b17dbb40fbed8735e7fe8c9eb02c20984fadfd6,Umbrella Reward #1 ((rUMB1)),https://www.umb.network/,Oracle
0x70861e862e1ac0c96f853c8231826e469ead37b1,DOS Network Token ((DOS)),https://dos.network/,Oracle
0x56ee175fe37cd461486ce3c3166e0cafccd9843f,eWit ((EWIT)),https://witnet.io/,Oracle
0x1ecc405022bd8da169957b5db4f1ce67b482e77a,EGEX ((EGEX)),https://egex.link/,Oracle
0x0000000000071821e8033345a7be174647be0706,Scry Protocol ((SCRY)),https://dapp.scry.finance/,Oracle
0xf1a91c7d44768070f711c68f33a7ca25c8d30268,CHARLI3 ((C3)),https://charli3.io,Oracle
0x97d2fc7d16bc34121c3311f2e2e05d298c19956f,Wfo ((WFO)),https://wooforacle.com/,Oracle
0x000000000ca5171087c18fb271ca844a2370fc0a,Merkle Network Token ((MERKLE)),https://merkle.network/,Oracle
0xfaf9b1cbcaf4321ae834335c8ba50b170cf836e7,Kylin Network ((KYL)),https://kylin.network/,Oracle
0x3642c0680329ae3e103e2b5ab29ddfed4d43cbe5,Plenny ((PL2)),https://plenny.link/,Oracle
0x9bde098be22658d057c3f1f185e3fd4653e2fbd1,KP2R.Network ((KP2R)),https://kp2r.network/,Oracle
